,,Index Returns,SPY Returns,Return Diff,Index Beta
11,2000-04-06,0.9832566783455432,0.9792585151985161,0.003998163147027056,1.0829074858888572
11,2000-07-06,0.9912336131990329,0.9778180903842904,0.013415522814742564,1.5253190856397643
11,2000-10-06,0.8631104593578169,0.905537676080867,-0.042427216723050054,1.2018650889862963
11,2001-01-05,1.1995575388463506,0.8638149125813857,0.335742626264965,2.109306618111712
11,2001-04-06,1.0416596589182527,1.0377101576983967,0.003949501219856044,1.6149859762627603
11,2001-07-06,0.7962002996981993,0.8845521187247828,-0.08835181902658351,1.8348953145125293
11,2001-10-05,1.3093610700726437,1.112544290778612,0.19681677929403163,1.4361107317865704
11,2002-01-07,1.0255819234066663,0.9608296904095698,0.06475223299709654,1.4076919158870107
11,2002-04-05,0.7484974965216463,0.8845089029304866,-0.13601140640884024,1.5032048852150686
11,2002-07-05,0.8425383843216053,0.8497768391030779,-0.007238454781472559,1.3233487571053988
11,2002-10-07,1.1801363450934699,1.164946332030007,0.015190013063462793,1.211778209140294
11,2003-01-06,1.0110881640242022,0.9696303875829227,0.04145777644127946,1.255933939223682
11,2003-04-07,1.0980896800888915,1.1455872575803003,-0.047497577491408816,1.190475056792333
11,2003-07-07,1.1513402827858858,1.0599579828501344,0.09138229993575142,1.2397919182499915
11,2003-10-06,1.0926217430824086,1.0906110103869826,0.002010732695425954,1.2901892323764401
11,2004-01-06,1.0017840656546444,1.0254608996792494,-0.023676834024604965,1.3796641936379401
11,2004-04-06,0.9467203475322776,0.9742207911025338,-0.02750044357025616,1.260968095934304
11,2004-07-06,0.9779328456533777,1.0201751704143889,-0.042242324761011196,1.1066924674014358
11,2004-10-06,1.0406696996139513,1.0372072674685027,0.003462432145448613,1.128419356806387
11,2005-01-06,0.9994526751977666,1.0089473060565841,-0.009494630858817521,0.8027823340129955
11,2005-04-06,1.0724644114688433,1.014994170536968,0.05747024093187525,1.207737024039806
11,2005-07-06,0.9887944238252043,0.9935051382521488,-0.0047107144269444845,1.1829865199956857
11,2005-10-06,1.039496220889602,1.0848327895607557,-0.045336568671153765,1.087349189165718
11,2006-01-06,1.0337769197792812,1.031484159165668,0.002292760613613165,1.039344048911098
11,2006-04-06,0.9169849228433673,0.9770500107954296,-0.060065087952062335,1.2585277350698805
11,2006-07-06,1.0328758098074473,1.0671582005272149,-0.034282390719767575,1.1735215023319996
11,2006-10-06,1.0563738156687144,1.044823753065768,0.011550062602946332,1.6290295195094504
11,2007-01-05,1.00270209521414,1.0221792905829818,-0.019477195368841738,1.4204868203974932
11,2007-04-05,1.092092368180541,1.062467460437806,0.029624907742735074,1.1786521690074099
11,2007-07-06,1.0723000932348021,1.0289745236945667,0.043325569540235476,1.0320913763091295
11,2007-10-05,0.8320000685014811,0.9365777692332742,-0.10457770073179307,1.1798962479804256
11,2008-01-07,0.9787161126770182,0.9740145673928675,0.004701545284150677,1.2708964065183477
11,2008-04-07,0.8220720935753238,0.9178564219260883,-0.09578432835076445,1.238579449637712
11,2008-07-07,0.828457002979936,0.7965241249003622,0.03193287807957379,1.167859650344467
11,2008-10-06,0.8489270351464481,0.7694681533957096,0.07945888175073845,1.4024814473551703
11,2009-01-06,0.8356182870761975,0.9068212365059035,-0.07120294942970606,1.1135484076107933
11,2009-04-06,1.10069370794396,1.0717688099187668,0.02892489802519327,1.606025526702596
11,2009-07-06,1.2566743507864169,1.1804093373375455,0.07626501344887138,1.3455254339149827
11,2009-10-06,1.0272095510422385,1.089187446776709,-0.061977895734470545,1.5184251656221817
11,2010-01-06,1.0605910028592156,1.0519245103103827,0.008666492548832894,1.2111680789476893
11,2010-04-06,0.8894727979642487,0.870321990394883,0.019150807569365713,1.226479720863071
11,2010-07-06,1.1140361265521348,1.141401086302655,-0.027364959750520113,1.2009085416214813
11,2010-10-06,1.1519986223798924,1.106713314538672,0.04528530784122031,1.2500940364552593
11,2011-01-06,1.0801287557843873,1.051712973560425,0.02841578222396235,1.1971794496738208
11,2011-04-06,1.0163256559955312,1.0104636131818963,0.0058620428136348934,1.0147239568855275
11,2011-07-06,0.8822144928393086,0.8750666471029291,0.007147845736379499,0.9931758127952259
11,2011-10-06,1.1420039100338069,1.0667987901345195,0.07520511989928735,1.127363979032095
11,2012-01-06,1.1118020590045066,1.0965529634961229,0.015249095508383714,1.1409474004776656
11,2012-04-05,0.9677741940156783,0.9831167164407258,-0.015342522425047522,1.4110757121037836
11,2012-07-06,1.064487312115372,1.0740564280979585,-0.009569115982586585,1.1091264138534322
11,2012-10-05,1.0265046220652214,1.011404617806254,0.015100004258967514,1.280377987391944
11,2013-01-07,1.0259669819016792,1.0647678450851485,-0.038800863183469314,1.0531727020434467
11,2013-04-05,1.1276561986741196,1.051473568382822,0.07618263029129757,1.4389021389466676
11,2013-07-05,1.0291613145754743,1.0522894304942643,-0.023128115918789938,1.1556963712317563
11,2013-10-07,1.1110399686030064,1.0877562185208487,0.02328375008215766,1.2575013758114508
11,2014-01-06,1.0663962758873224,1.0236894847387896,0.04270679114853282,1.184772435289729
11,2014-04-07,1.0710681186308626,1.064680624853979,0.006387493776883524,1.2728006882944976
11,2014-07-07,1.01116368005575,0.9796336790150592,0.031530001040690814,1.4736238619118749
11,2014-10-06,1.0045026815969584,1.0384609773687854,-0.03395829577182696,1.1506686075358195
11,2015-01-06,1.0264391598926046,1.034888527342333,-0.008449367449728351,1.022780366425321
11,2015-04-06,0.9681995842232285,1.0062270427393987,-0.038027458516170176,1.0615932213095156
