K,date,Index Returns Method 1,SPY Returns Method 1,Return Diff Method 1,Index Beta Method 1,Index Returns Method 2,SPY Returns Method 2,Return Diff Method 2,Index Beta Method 2,Active Risk
11,2000-04-06,0.9832566783455432,0.9792585151985161,0.003998163147027056,1.0829074858888572,0.981466148199233,0.9792585151985161,0.002207633000716802,0.9746687520560685,0.007715358997433806
11,2000-07-06,0.9912336131990329,0.9778180903842904,0.013415522814742564,1.5253190856397643,1.0209052957444609,0.9778180903842904,0.04308720536017052,1.2326016100574781,0.008188315450585779
11,2000-10-06,0.8631104593578169,0.905537676080867,-0.042427216723050054,1.2018650889862963,0.8558717659969306,0.905537676080867,-0.04966591008393639,0.8763670111060904,0.007629818888579086
11,2001-01-05,1.1995575388463506,0.8638149125813857,0.335742626264965,2.109306618111712,0.9805620132205328,0.8638149125813857,0.11674710063914717,1.1282170421010163,0.0138011321312827
11,2001-04-06,1.0416596589182527,1.0377101576983967,0.003949501219856044,1.6149859762627603,0.9584505255903587,1.0377101576983967,-0.07925963210803799,1.2647532372625303,0.016291208877558343
11,2001-07-06,0.7962002996981993,0.8845521187247828,-0.08835181902658351,1.8348953145125293,0.8983710918709841,0.8845521187247828,0.013818973146201285,1.3301836312696114,0.006170908033841095
11,2001-10-05,1.3093610700726437,1.112544290778612,0.19681677929403163,1.4361107317865704,1.2420429425950739,1.112544290778612,0.1294986518164618,1.1847142939071844,0.005479799770039222
11,2002-01-07,1.0255819234066663,0.9608296904095698,0.06475223299709654,1.4076919158870107,1.049101432783722,0.9608296904095698,0.08827174237415225,1.080306960983478,0.004875657648895592
11,2002-04-05,0.7484974965216463,0.8845089029304866,-0.13601140640884024,1.5032048852150686,0.8785911837236272,0.8845089029304866,-0.005917719206859351,1.0483033107734627,0.004317889489705066
11,2002-07-05,0.8425383843216053,0.8497768391030779,-0.007238454781472559,1.3233487571053988,0.8793583554777906,0.8497768391030779,0.029581516374712735,1.1443050868191513,0.004360915302188966
11,2002-10-07,1.1801363450934699,1.164946332030007,0.015190013063462793,1.211778209140294,1.0872958917229045,1.164946332030007,-0.07765044030710255,0.9213010097372683,0.008929836853234435
11,2003-01-06,1.0110881640242022,0.9696303875829227,0.04145777644127946,1.255933939223682,0.948173170450689,0.9696303875829227,-0.021457217132233697,0.9931169918530728,0.006360418243913223
11,2003-04-07,1.0980896800888915,1.1455872575803003,-0.047497577491408816,1.190475056792333,1.1014438536748967,1.1455872575803003,-0.04414340390540361,1.0670801788531428,0.004360838845489417
11,2003-07-07,1.1513402827858858,1.0599579828501344,0.09138229993575142,1.2397919182499915,1.1076670002826219,1.0599579828501344,0.047709017432487455,1.0680664455440516,0.003329626245972268
11,2003-10-06,1.0926217430824086,1.0906110103869826,0.002010732695425954,1.2901892323764401,1.0716077953527372,1.0906110103869826,-0.019003215034245402,1.1766066591929254,0.0034987356231106093
11,2004-01-06,1.0017840656546444,1.0254608996792494,-0.023676834024604965,1.3796641936379401,1.0020788010418193,1.0254608996792494,-0.023382098637430015,1.0230882261903635,0.00287772422185424
11,2004-04-06,0.9467203475322776,0.9742207911025338,-0.02750044357025616,1.260968095934304,0.934103691597541,0.9742207911025338,-0.04011709950499276,1.0334484759969451,0.003618096407163351
11,2004-07-06,0.9779328456533777,1.0201751704143889,-0.042242324761011196,1.1066924674014358,1.1061232148427127,1.0201751704143889,0.08594804442832382,0.8612363813428752,0.006370441681659937
11,2004-10-06,1.0406696996139513,1.0372072674685027,0.003462432145448613,1.128419356806387,1.0330786765853917,1.0372072674685027,-0.004128590883111016,1.0042726888855307,0.0024553729657184505
11,2005-01-06,0.9994526751977666,1.0089473060565841,-0.009494630858817521,0.8027823340129955,0.9481036461789363,1.0089473060565841,-0.06084365987764784,0.7041091288756856,0.0037977691395453352
11,2005-04-06,1.0724644114688433,1.014994170536968,0.05747024093187525,1.207737024039806,1.0507646200297478,1.014994170536968,0.03577044949277974,1.0989063710675588,0.002710839363728367
11,2005-07-06,0.9887944238252043,0.9935051382521488,-0.0047107144269444845,1.1829865199956857,0.9405315873102572,0.9935051382521488,-0.0529735509418916,0.9367245075217439,0.003515503777894056
11,2005-10-06,1.039496220889602,1.0848327895607557,-0.045336568671153765,1.087349189165718,1.0637575879838397,1.0848327895607557,-0.021075201576916003,1.1703523275892658,0.003673930145532612
11,2006-01-06,1.0337769197792812,1.031484159165668,0.002292760613613165,1.039344048911098,1.0401093751693986,1.031484159165668,0.008625216003730563,1.0048447392618474,0.0033457463962988858
11,2006-04-06,0.9169849228433673,0.9770500107954296,-0.060065087952062335,1.2585277350698805,0.9102951204853522,0.9770500107954296,-0.06675489031007742,1.3003396974606978,0.005582293214084328
11,2006-07-06,1.0328758098074473,1.0671582005272149,-0.034282390719767575,1.1735215023319996,0.9892288398218614,1.0671582005272149,-0.0779293607053535,0.9177894913418962,0.003988073732160882
11,2006-10-06,1.0563738156687144,1.044823753065768,0.011550062602946332,1.6290295195094504,1.0630928293853625,1.044823753065768,0.018269076319594513,1.1176553656491628,0.0032612789620612547
11,2007-01-05,1.00270209521414,1.0221792905829818,-0.019477195368841738,1.4204868203974932,0.9930951946323541,1.0221792905829818,-0.029084095950627775,1.0868316747981208,0.0032584731343572554
11,2007-04-05,1.092092368180541,1.062467460437806,0.029624907742735074,1.1786521690074099,0.9930951946323541,1.0221792905829818,-0.029084095950627775,1.0868316747981208,0.0032584731343572554
11,2007-07-06,1.0723000932348021,1.0289745236945667,0.043325569540235476,1.0320913763091295,1.0889326408116875,1.0289745236945667,0.059958117117120846,0.8718249199833334,0.001941435871914295
