,,weight
2008-10-07,AMT,0.14565355263767155
2008-10-07,BAC,0.22306032582424498
2008-10-07,BIIB,0.0034520944873887016
2008-10-07,CVX,0.0761383518795724
2008-10-07,GOOG,0.11475198289055619
2008-10-07,HD,0.06184063312100239
2008-10-07,MA,0.03698679047783496
2008-10-07,MCD,0.09227815946687239
2008-10-07,MMM,0.13117580416774707
2009-01-07,CAT,0.04461827423512999
2009-01-07,DIS,0.10265376396121483
2009-01-07,GOOG,0.0805518496738599
2009-01-07,INTC,0.042244066809162095
2009-01-07,JPM,0.17480164390486055
2009-01-07,LOW,0.025190873106446163
2009-01-07,MS,0.04984301568323618
2009-01-07,PG,0.14011668900360416
2009-01-07,RTX,0.21224878247740875
2009-01-07,XOM,0.12773104114507747
2009-04-07,AIG,0.0047671503404192435
2009-04-07,CVX,0.2147872459307762
2009-04-07,DUK,0.008141319946310985
2009-04-07,GOOGL,0.20490055629107853
2009-04-07,INTC,0.15845593091744417
2009-04-07,LLY,0.112204429016198
2009-04-07,MO,0.006126713397435542
2009-04-07,UPS,0.09045489858151345
2009-04-07,V,0.031083906338148035
2009-04-07,WFC,0.16907784924067568
2009-07-07,CSCO,0.18422516711992026
2009-07-07,DUK,0.03697421584203263
2009-07-07,GILD,0.007220893610819359
2009-07-07,GOOG,0.16867532971983393
2009-07-07,INTC,0.03172793736804461
2009-07-07,JPM,0.3082138651917164
2009-07-07,PFE,0.07309076066843548
2009-07-07,PG,0.04462708218656376
2009-07-07,RTX,0.13674667278081545
2009-07-07,UNH,0.008498075511818061
2009-10-07,ABT,0.007441044255211776
2009-10-07,AIG,0.0623161728620533
2009-10-07,EMR,0.09206427392659602
2009-10-07,GD,0.0430890819163807
2009-10-07,HD,0.09988311908194455
2009-10-07,MET,0.3367826032350904
2009-10-07,NFLX,0.040865418686154314
2009-10-07,PG,0.021697058592198448
2009-10-07,WBA,0.010367327298456503
2009-10-07,XOM,0.2854939001459139
2010-01-07,AMZN,0.045746306947658445
2010-01-07,CVX,0.09681737403266685
2010-01-07,EMR,0.21663303392928723
2010-01-07,EXC,0.043166482969739836
2010-01-07,GOOGL,0.05507862620434329
2010-01-07,HON,0.13575876158557307
2010-01-07,JPM,0.3257304961079825
2010-01-07,MA,0.02075419831722017
2010-01-07,T,0.038001702623161944
2010-01-07,TMUS,0.02231301728236646
2010-04-07,COF,0.031452160703105914
2010-04-07,CRM,0.05172054065538719
2010-04-07,CVX,0.16249754621205878
2010-04-07,GOOG,0.08025902855649054
2010-04-07,HD,0.0202878535262535
2010-04-07,INTC,0.21737247964825865
2010-04-07,JPM,0.2527278719236199
2010-04-07,MRK,0.07374488979159659
2010-04-07,PG,0.05933834932363466
2010-04-07,SO,0.05059927965959435
2010-07-07,BAC,0.2317979615511794
2010-07-07,BMY,0.006481745942600775
2010-07-07,CHTR,0.001730171077168639
2010-07-07,CVX,0.13284642811733705
2010-07-07,DUK,0.018713026175412237
2010-07-07,GILD,0.010370664613826326
2010-07-07,GOOG,0.05308517058526852
2010-07-07,HON,0.45068964770851755
2010-07-07,KO,0.07668594747084184
2010-07-07,MA,0.01759923675784771
2010-10-07,CHTR,0.0007728074118315296
2010-10-07,CVX,0.14454631018337025
2010-10-07,GOOG,0.09767963076882479
2010-10-07,HD,0.041228597575164505
2010-10-07,NFLX,0.010581369577503271
